datetime,open,high,low,close,volume
2026-01-14 09:55:00,25743.0,25761.5,25710.15,25717.25,11099656
2026-01-14 10:05:00,25715.65,25723.85,25692.65,25696.8,12411515
2026-01-14 10:15:00,25697.9,25703.75,25661.35,25676.1,11547434
2026-01-14 10:25:00,25676.6,25691.85,25662.25,25686.6,10754399
2026-01-14 10:35:00,25686.95,25718.9,25669.7,25675.0,12399529
2026-01-14 10:45:00,25674.95,25705.35,25662.0,25703.65,7808958
2026-01-14 10:55:00,25704.55,25736.0,25700.35,25733.15,10016232
2026-01-14 11:05:00,25733.8,25737.9,25713.45,25726.25,7571093
2026-01-14 11:15:00,25723.7,25754.95,25720.3,25737.5,13101701
2026-01-14 11:25:00,25737.9,25775.8,25732.7,25769.0,11819770
2026-01-14 11:35:00,25769.1,25777.35,25758.85,25761.15,9005759
2026-01-14 11:45:00,25760.95,25786.05,25759.4,25776.5,6284641
2026-01-14 11:55:00,25775.7,25791.75,25771.95,25786.95,7030171
2026-01-14 12:05:00,25786.3,25788.25,25742.2,25743.35,7384674
2026-01-14 12:15:00,25743.7,25774.9,25734.5,25767.75,6863324
2026-01-14 12:25:00,25767.9,25773.65,25751.5,25765.15,7236959
2026-01-14 12:35:00,25765.1,25780.9,25751.85,25753.45,5914490
2026-01-14 12:45:00,25753.5,25769.45,25741.15,25747.85,5297832
2026-01-14 12:55:00,25747.65,25754.05,25736.05,25740.5,5095951
2026-01-14 13:05:00,25740.45,25761.5,25740.45,25747.15,5549827
2026-01-14 13:15:00,25746.75,25757.3,25716.95,25717.15,6714482
2026-01-14 13:25:00,25716.9,25728.8,25699.75,25700.35,5823786
2026-01-14 13:35:00,25699.75,25709.35,25658.8,25659.35,7417557
2026-01-14 13:45:00,25659.85,25670.85,25638.95,25638.95,8197592
2026-01-14 13:55:00,25639.65,25656.9,25631.2,25638.15,6663498
2026-01-14 14:05:00,25637.75,25664.1,25632.2,25663.2,7188250
2026-01-14 14:15:00,25663.25,25669.75,25610.45,25610.85,10604114
2026-01-14 14:25:00,25610.2,25638.05,25603.95,25636.4,8411820
2026-01-14 14:35:00,25635.95,25680.3,25627.5,25676.65,11614674
2026-01-14 14:45:00,25676.4,25715.65,25676.4,25695.85,14546203
2026-01-14 14:55:00,25696.95,25703.8,25649.4,25684.95,14829451
2026-01-14 15:05:00,25686.25,25694.1,25650.8,25652.85,20804210
2026-01-14 15:15:00,25655.25,25675.95,25648.3,25675.55,23064816
2026-01-14 15:25:00,25675.8,25677.4,25662.6,25669.1,10012776
2026-01-16 09:15:00,25696.05,25743.25,25678.4,25714.1,43748515
2026-01-16 09:25:00,25714.3,25732.5,25686.55,25708.75,19158304
2026-01-16 09:35:00,25707.25,25727.5,25683.8,25725.75,14348293
2026-01-16 09:45:00,25726.2,25755.85,25715.2,25752.2,13646312
2026-01-16 09:55:00,25753.7,25765.55,25736.8,25761.35,10847156
2026-01-16 10:05:00,25760.95,25789.5,25749.15,25784.95,10104830
2026-01-16 10:15:00,25784.2,25854.65,25783.9,25848.05,12679329
2026-01-16 10:25:00,25848.0,25865.65,25842.05,25852.25,10356579
2026-01-16 10:35:00,25852.65,25873.5,25839.75,25844.55,9355269
2026-01-16 10:45:00,25844.8,25863.9,25837.85,25838.05,8016689
2026-01-16 10:55:00,25837.65,25845.15,25824.2,25824.35,9136325
2026-01-16 11:05:00,25823.9,25837.05,25801.85,25812.5,9693877
2026-01-16 11:15:00,25812.4,25823.4,25800.95,25806.1,7738559
2026-01-16 11:25:00,25805.7,25830.65,25801.25,25810.35,7388955
2026-01-16 11:35:00,25810.0,25814.6,25797.15,25798.45,8461488
2026-01-16 11:45:00,25798.65,25799.45,25783.35,25791.95,7559320
2026-01-16 11:55:00,25792.1,25797.35,25770.25,25790.6,8271490
2026-01-16 12:05:00,25790.6,25826.6,25789.25,25824.65,9337910
2026-01-16 12:15:00,25823.95,25829.2,25806.2,25810.85,6813025
2026-01-16 12:25:00,25810.3,25812.95,25737.8,25770.75,10906171
2026-01-16 12:35:00,25770.9,25774.6,25753.9,25759.55,7325865
2026-01-16 12:45:00,25759.5,25766.95,25738.1,25766.4,7495866
2026-01-16 12:55:00,25767.85,25767.85,25719.45,25727.2,8702909
2026-01-16 13:05:00,25726.55,25730.95,25704.1,25717.05,6420994
2026-01-16 13:15:00,25717.75,25723.1,25692.65,25695.75,5882268
2026-01-16 13:25:00,25695.65,25719.75,25662.4,25702.3,8782531
2026-01-16 13:35:00,25702.15,25707.95,25683.8,25696.35,9447815
2026-01-16 13:45:00,25697.15,25717.1,25676.5,25686.25,6497035
2026-01-16 13:55:00,25687.2,25693.8,25674.35,25680.45,5885951
2026-01-16 14:05:00,25680.6,25697.55,25667.4,25688.05,6738504
2026-01-16 14:15:00,25687.65,25705.8,25671.7,25699.1,8277615
2026-01-16 14:25:00,25699.15,25710.6,25684.15,25701.7,8514003
2026-01-16 14:35:00,25701.25,25720.45,25680.7,25710.2,11342178
2026-01-16 14:45:00,25711.05,25716.15,25687.5,25696.15,10173552
2026-01-16 14:55:00,25696.25,25711.9,25693.55,25697.3,16080147
2026-01-16 15:05:00,25698.2,25699.35,25682.45,25682.45,22108402
2026-01-16 15:15:00,25682.85,25705.7,25681.6,25700.0,24984287
2026-01-16 15:25:00,25700.65,25710.75,25691.15,25701.9,11256585
2026-01-19 09:15:00,25653.1,25653.3,25528.3,25577.25,46621240
2026-01-19 09:25:00,25575.7,25592.3,25532.35,25588.0,22596388
2026-01-19 09:35:00,25586.6,25596.3,25547.75,25565.6,17017989
2026-01-19 09:45:00,25564.75,25585.0,25545.8,25548.4,18279494
2026-01-19 09:55:00,25547.05,25559.55,25507.2,25515.45,11807976
2026-01-19 10:05:00,25515.6,25539.1,25504.85,25527.9,13131515
2026-01-19 10:15:00,25526.55,25547.6,25524.1,25540.65,12106317
2026-01-19 10:25:00,25540.75,25540.75,25496.25,25509.8,10105745
2026-01-19 10:35:00,25509.25,25520.2,25494.35,25513.55,7740468
2026-01-19 10:45:00,25513.85,25525.8,25511.9,25519.65,9018818
2026-01-19 10:55:00,25519.2,25564.2,25519.2,25556.6,7845506
2026-01-19 11:05:00,25556.35,25562.5,25526.5,25538.4,8558304
2026-01-19 11:15:00,25538.15,25538.4,25508.7,25517.55,8413710
2026-01-19 11:25:00,25518.5,25524.3,25510.75,25521.4,9960111
2026-01-19 11:35:00,25521.45,25547.0,25517.1,25545.9,8894018
2026-01-19 11:45:00,25546.05,25549.9,25534.05,25546.95,6316233
2026-01-19 11:55:00,25547.55,25547.55,25517.5,25520.45,7016379
2026-01-19 12:05:00,25520.3,25532.75,25512.75,25532.65,7430082
2026-01-19 12:15:00,25532.4,25556.25,25527.35,25531.15,7945740
2026-01-19 12:25:00,25530.45,25532.55,25518.35,25526.2,8489208
2026-01-19 12:35:00,25525.75,25528.05,25511.45,25527.0,8185483
2026-01-19 12:45:00,25526.95,25546.05,25510.65,25543.9,11855902
2026-01-19 12:55:00,25543.8,25555.3,25541.6,25553.25,8549063
2026-01-19 13:05:00,25553.4,25565.25,25522.65,25534.65,7933518
2026-01-19 13:15:00,25533.4,25547.35,25525.0,25533.8,6401719
2026-01-19 13:25:00,25533.05,25550.4,25522.35,25550.25,6040065
2026-01-19 13:35:00,25548.75,25564.8,25543.2,25549.9,14228724
2026-01-19 13:45:00,25548.25,25604.9,25540.8,25595.0,12918588
2026-01-19 13:55:00,25595.2,25621.4,25592.85,25617.6,8808609
2026-01-19 14:05:00,25617.5,25630.65,25587.0,25590.3,8743522
2026-01-19 14:15:00,25589.65,25615.35,25586.5,25608.3,6931711
2026-01-19 14:25:00,25607.35,25610.35,25588.8,25604.35,6686936
2026-01-19 14:35:00,25603.9,25621.7,25597.6,25614.9,9567152
2026-01-19 14:45:00,25614.65,25636.25,25613.25,25627.0,11612902
2026-01-19 14:55:00,25625.95,25636.3,25605.1,25613.85,19703392
2026-01-19 15:05:00,25613.65,25613.65,25585.7,25591.15,15791958
2026-01-19 15:15:00,25592.25,25594.1,25553.65,25561.9,18302656
2026-01-19 15:25:00,25561.6,25564.7,25545.4,25555.5,8234847
2026-01-20 09:15:00,25580.3,25585.0,25510.5,25514.35,23946873
2026-01-20 09:25:00,25514.95,25520.95,25483.15,25495.55,15801280
2026-01-20 09:35:00,25496.6,25499.05,25453.85,25467.5,13207431
2026-01-20 09:45:00,25468.95,25478.05,25433.4,25434.1,10412983
2026-01-20 09:55:00,25435.4,25476.05,25432.6,25469.9,10932235
2026-01-20 10:05:00,25473.2,25489.5,25461.75,25468.7,8878764
2026-01-20 10:15:00,25471.65,25500.45,25457.35,25483.8,12024500
2026-01-20 10:25:00,25484.5,25491.75,25471.7,25477.8,8393935
2026-01-20 10:35:00,25479.1,25504.0,25472.65,25482.45,12391892
2026-01-20 10:45:00,25483.45,25491.85,25463.55,25470.5,6254096
2026-01-20 10:55:00,25471.2,25471.8,25451.25,25458.55,8524444
2026-01-20 11:05:00,25459.35,25459.35,25446.25,25449.6,7321970
2026-01-20 11:15:00,25450.6,25472.1,25443.85,25453.9,8112454
2026-01-20 11:25:00,25453.5,25468.2,25446.2,25457.6,5191865
2026-01-20 11:35:00,25457.6,25472.9,25456.25,25469.7,5420768
2026-01-20 11:45:00,25470.95,25492.5,25461.7,25488.95,7867085
2026-01-20 11:55:00,25489.15,25489.15,25454.1,25454.95,8147587
2026-01-20 12:05:00,25456.45,25456.45,25427.25,25437.35,9639562
2026-01-20 12:15:00,25439.05,25444.45,25421.1,25427.75,11482443
2026-01-20 12:25:00,25429.05,25439.35,25420.55,25426.7,5847289
2026-01-20 12:35:00,25427.15,25431.75,25409.0,25409.75,7303837
2026-01-20 12:45:00,25411.95,25434.95,25405.1,25429.25,7500539
2026-01-20 12:55:00,25429.65,25436.9,25421.3,25424.15,5292198
2026-01-20 13:05:00,25424.9,25428.2,25414.25,25415.95,9108054
2026-01-20 13:15:00,25416.3,25436.15,25410.55,25420.15,5692587
2026-01-20 13:25:00,25421.25,25426.55,25394.75,25396.2,7005764
2026-01-20 13:35:00,25398.15,25398.15,25361.45,25372.45,9131994
2026-01-20 13:45:00,25372.75,25376.0,25360.25,25369.4,6486541
2026-01-20 13:55:00,25370.25,25389.2,25349.55,25379.2,10707824
